Date,Open,High,Low,Close,Adj Close,Volume
2010-12-03,890.000000,896.900024,875.049988,878.799988,701.439270,27757
2010-12-06,880.000000,900.000000,876.000000,886.099976,707.266052,32380
2010-12-07,878.200012,900.000000,876.299988,879.950012,702.357239,22292
2010-12-08,871.200012,891.000000,850.000000,865.599976,690.903259,28293
2010-12-09,880.000000,880.000000,830.000000,837.000000,668.075439,43080
2010-12-10,820.500000,850.000000,786.750000,846.200012,675.418701,45252
2010-12-13,856.000000,862.000000,826.000000,845.750000,675.059631,27920
2010-12-14,853.549988,858.000000,843.200012,854.750000,682.243103,38018
2010-12-15,859.799988,859.799988,834.000000,838.500000,669.272766,26962
2010-12-16,832.000000,843.000000,820.150024,823.349976,657.180298,36909
2010-12-20,820.049988,840.000000,820.000000,829.700012,662.248779,29739
2010-12-21,830.099976,850.000000,807.200012,847.299988,676.296692,48123
2010-12-22,851.000000,857.000000,840.150024,850.250000,678.651367,45321
2010-12-23,851.150024,859.400024,840.000000,853.250000,681.045959,16787
2010-12-24,856.950012,881.000000,843.000000,866.650024,691.741455,72911
2010-12-27,874.450012,878.000000,855.150024,860.599976,686.912537,32742
2010-12-28,852.000000,870.000000,852.000000,859.200012,685.795044,19811
2010-12-29,861.000000,888.000000,861.000000,867.099976,692.100586,57833
2010-12-30,868.250000,878.799988,861.000000,863.849976,689.506592,26835
2010-12-31,865.049988,880.000000,855.000000,874.200012,697.767639,40994
2011-01-03,877.950012,892.000000,868.000000,870.299988,694.654785,52723
2011-01-04,877.799988,878.000000,856.150024,864.250000,689.825928,168249
2011-01-05,860.000000,872.950012,826.000000,827.700012,660.652405,94497
2011-01-06,835.049988,835.049988,810.549988,812.250000,648.320496,257547
2011-01-07,814.000000,815.950012,776.000000,788.549988,629.403687,56541
2011-01-10,783.900024,799.950012,762.000000,787.599976,628.645447,168339
2011-01-11,790.599976,796.950012,758.000000,762.799988,608.850647,156881
2011-01-12,765.000000,778.950012,754.000000,774.650024,618.309082,48188
2011-01-13,766.700012,777.900024,765.099976,770.000000,614.597351,35133
2011-01-14,774.000000,778.950012,751.000000,761.549988,607.852905,37714
2011-01-17,737.200012,764.000000,737.200012,744.799988,594.483398,26429
2011-01-18,760.000000,760.000000,740.950012,747.450012,596.598633,32211
2011-01-19,759.950012,765.900024,731.299988,735.150024,586.781067,82794
2011-01-20,748.000000,761.000000,737.049988,739.700012,590.412659,132436
2011-01-21,740.549988,754.750000,738.000000,751.900024,600.150452,67997
2011-01-24,752.000000,757.450012,745.000000,751.349976,599.711426,23703
2011-01-25,752.000000,755.099976,745.099976,748.200012,597.197205,27152
2011-01-27,742.299988,752.000000,720.000000,725.250000,578.879089,48768
2011-01-28,725.950012,743.000000,714.000000,738.000000,589.055786,80250
2011-01-31,729.950012,734.900024,713.099976,727.450012,580.635071,32644
